2020-10-02 18:11:00,054 p=6521 u=student n=ansible | PLAY [CKA Setup] *******************************************************************************************************************************************************
2020-10-02 18:11:04,048 p=6521 u=student n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************
2020-10-02 18:11:04,051 p=6521 u=student n=ansible | ok: [node-02]
2020-10-02 18:11:04,105 p=6521 u=student n=ansible | ok: [node-01]
2020-10-02 18:11:04,208 p=6521 u=student n=ansible | ok: [master-01]
2020-10-02 18:11:04,224 p=6521 u=student n=ansible | ok: [node-03]
2020-10-02 18:11:04,244 p=6521 u=student n=ansible | ok: [bchd]
2020-10-02 18:11:06,255 p=6521 u=student n=ansible | ok: [master-02]
2020-10-02 18:11:06,481 p=6521 u=student n=ansible | ok: [master-03]
2020-10-02 18:11:07,742 p=6521 u=student n=ansible | TASK [command] *********************************************************************************************************************************************************
2020-10-02 18:11:07,744 p=6521 u=student n=ansible | [WARNING]: Consider using 'become', 'become_method', and 'become_user' rather than running sudo

2020-10-02 18:11:07,744 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:11:07,837 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:11:07,847 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:11:07,936 p=6521 u=student n=ansible | changed: [master-01]
2020-10-02 18:11:07,951 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:11:08,582 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:11:08,583 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:11:09,144 p=6521 u=student n=ansible | TASK [command] *********************************************************************************************************************************************************
2020-10-02 18:11:09,146 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:11:09,304 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:11:09,417 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:11:09,420 p=6521 u=student n=ansible | changed: [master-01]
2020-10-02 18:11:09,432 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:11:09,616 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:11:09,793 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:11:10,399 p=6521 u=student n=ansible | TASK [command] *********************************************************************************************************************************************************
2020-10-02 18:11:10,401 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:11:10,529 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:11:10,603 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:11:10,633 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:11:10,707 p=6521 u=student n=ansible | changed: [master-01]
2020-10-02 18:11:10,908 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:11:11,024 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:11:11,751 p=6521 u=student n=ansible | TASK [kubeadmteardown : command] ***************************************************************************************************************************************
2020-10-02 18:11:11,753 p=6521 u=student n=ansible | fatal: [node-01]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:11,753 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:11,796 p=6521 u=student n=ansible | fatal: [bchd]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:11,798 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:11,842 p=6521 u=student n=ansible | fatal: [node-02]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:11,843 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:11,845 p=6521 u=student n=ansible | fatal: [node-03]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:11,846 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:11,941 p=6521 u=student n=ansible | fatal: [master-01]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:11,942 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:12,292 p=6521 u=student n=ansible | fatal: [master-02]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:12,293 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:12,326 p=6521 u=student n=ansible | fatal: [master-03]: FAILED! => {"changed": false, "cmd": "kubeadm reset --force", "msg": "[Errno 2] No such file or directory: b'kubeadm': b'kubeadm'", "rc": 2}
2020-10-02 18:11:12,327 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:11:12,983 p=6521 u=student n=ansible | TASK [kubeadmteardown : command] ***************************************************************************************************************************************
2020-10-02 18:11:12,988 p=6521 u=student n=ansible | [WARNING]: Consider using the file module with state=absent rather than running 'rm'.  If you need to use command because file is insufficient you can add 'warn:
false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2020-10-02 18:11:12,989 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:11:13,049 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:11:13,078 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:11:13,226 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:11:13,251 p=6521 u=student n=ansible | changed: [master-01]
2020-10-02 18:11:13,522 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:11:13,566 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:11:15,070 p=6521 u=student n=ansible | TASK [kubeadm1.18 : template] ******************************************************************************************************************************************
2020-10-02 18:11:15,072 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:12:12,541 p=6521 u=student n=ansible | TASK [kubeadm1.18 : install k8s pre-reqs] ******************************************************************************************************************************
2020-10-02 18:12:12,542 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:15,832 p=6521 u=student n=ansible | TASK [kubeadm1.18 : Kubeadm init] **************************************************************************************************************************************
2020-10-02 18:13:15,833 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:16,670 p=6521 u=student n=ansible | TASK [kubeadm1.18 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:13:16,670 p=6521 u=student n=ansible | [WARNING]: Consider using the file module with state=directory rather than running 'mkdir'.  If you need to use command because file is insufficient you can add 'warn:
false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2020-10-02 18:13:16,671 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:17,369 p=6521 u=student n=ansible | TASK [kubeadm1.18 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:13:17,374 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:18,100 p=6521 u=student n=ansible | TASK [kubeadm1.18 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:13:18,102 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:21,228 p=6521 u=student n=ansible | TASK [kubeadm1.18 : Starting CNI (Calico)] *****************************************************************************************************************************
2020-10-02 18:13:21,229 p=6521 u=student n=ansible | changed: [master-02]
2020-10-02 18:13:23,429 p=6521 u=student n=ansible | TASK [kubeadm1.19 : template] ******************************************************************************************************************************************
2020-10-02 18:13:23,430 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:14:31,777 p=6521 u=student n=ansible | TASK [kubeadm1.19 : install k8s pre-reqs] ******************************************************************************************************************************
2020-10-02 18:14:31,778 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:28,159 p=6521 u=student n=ansible | TASK [kubeadm1.19 : Kubeadm init] **************************************************************************************************************************************
2020-10-02 18:15:28,160 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:29,083 p=6521 u=student n=ansible | TASK [kubeadm1.19 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:15:29,085 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:29,932 p=6521 u=student n=ansible | TASK [kubeadm1.19 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:15:29,933 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:30,850 p=6521 u=student n=ansible | TASK [kubeadm1.19 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:15:30,851 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:34,432 p=6521 u=student n=ansible | TASK [kubeadm1.19 : Starting CNI (Calico)] *****************************************************************************************************************************
2020-10-02 18:15:34,433 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:36,777 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : template] *********************************************************************************************************************************
2020-10-02 18:15:36,778 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:15:36,880 p=6521 u=student n=ansible | changed: [node-01]
